Product Name,Product Price,Table Info
Bình sữa Comotomo hồng 250ml (Tách lẻ),429.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111466', 'Nhựa PP', '250ml', 'Hồng'"
Núm ty Comotomo hộp 2 chiếc (Trên 3 tháng),275.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108087', 'Trên 3 tháng', 'Silicon'"
Bình sữa Pigeon SofTouch Plus nhựa PP 160ml,222.000 ₫,"'Pigeon', 'Nhật Bản', 'Indonesia', '118517', 'Từ sơ sinh', 'Nhựa PP', '160ml', 'Trắng'"
Bình sữa Comotomo hồng 150ml (Tách lẻ),419.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111463', 'Nhựa PP', '150ml', 'Hồng'"
Sữa tươi tiệt trùng Australia's Own tách béo 1L,47.000 ₫,"""Australia's Own"", 'Úc', 'Úc', '804902', '1000 ml'"
Sữa dê công thức DG-1 400g (0 - 6 tháng),447.000 ₫,"'DG', 'Newzealand', 'Newzealand', '804885', '0 - 6 tháng', '400g'"
Sữa dê công thức DG-2 400g (6 - 36 tháng),447.000 ₫,"'DG', 'Newzealand', 'Newzealand', '804886', '6 - 36 tháng', '400 g'"
Sữa dê công thức DG-3 400g (Trên 2 tuổi),410.000 ₫,"'DG', 'Newzealand', 'Newzealand', '804887', 'Trên 2 tuổi', '400 g'"
Sữa France Lait số 1 400g (0 - 6 tháng),299.000 ₫,"'France Lait', 'Pháp', 'Pháp', '804888', '0 - 6 tháng', '400 g'"
Sữa France Lait số 2 900g (6 - 12 tháng),580.000 ₫,"'France Lait', 'Pháp', 'Pháp', '804891', '6 - 12 tháng', '900 g'"
Sữa France Lait số 3 900g (1 - 3 tuổi),590.000 ₫,"'France Lait', 'Pháp', 'Pháp', '804893', '1 - 3 tuổi', '900 g'"
Bình sữa DrBrown's Options Plus cổ rộng 150ml 51600,385.000 ₫,"""Dr. Brown's"", 'Mỹ', 'Mỹ', '120791', 'Bình sữa', 'Từ sơ sinh', 'Nhựa PP', '150 ml'"
Bộ hai hộp chia sữa Munchkin 80103,139.000 ₫,"'Munchkin', 'Mỹ', '107651', 'Hộp chia sữa', 'Từ sơ sinh', 'Nhựa an toàn', 'Nhiều màu sắc'"
Vỉ 2 núm ty DrBrown's cổ rộng số 2 (Trên 3 tháng),173.000 ₫,"""Dr. Brown's"", 'Mỹ', '107766', 'Trên 3 tháng', 'Silicon'"
Vỉ 2 núm ty DrBrown's cổ rộng số 3 (Trên 6 tháng),173.000 ₫,"""Dr. Brown's"", 'Mỹ', '107767', 'Trên 6 tháng', 'Silicon'"
Ủ ấm bình sữa đơn Kuku 5449,199.000 ₫,"'KuKu Duckbill', 'Đài Loan', 'Đài Loan', '107788', 'Từ sơ sinh', 'Trắng'"
Bình sữa Philips Avent cổ chuẩn 260ml 683/17,235.000 ₫,"'Philips Avent', 'Anh', '107933', 'Trên 1 tháng', 'Nhựa PP', '260ml', 'Trắng'"
Bình sữa thủy tinh ChuChu Baby cổ nhỏ 240ml,215.000 ₫,"'ChuChu Baby', 'Nhật Bản', '107973', 'Thủy tinh', '240ml', 'Trắng'"
Túi ủ bình sữa đôi Kuku 5448,228.000 ₫,"'KuKu Duckbill', 'Đài Loan', 'Đài Loan', '107991', 'Bình ủ sữa', 'Từ sơ sinh', 'Trắng'"
Bình sữa Nuk cổ rộng nhựa PP núm cao su 300ml 741617,215.000 ₫,"'Nuk', 'Đức', '107994', 'Nhựa PP', '300ml', 'Nhiều màu sắc'"
Bình sữa DrBrown's cổ thường 60ml,236.000 ₫,"""Dr. Brown's"", 'Mỹ', 'Mỹ', '108021', 'Nhựa PP', '60ml', 'Trắng'"
Bình sữa Medela 150ml,238.000 ₫,"'Medela', 'Thụy Sĩ', '108024', 'Nhựa PP', '150ml', 'Trắng'"
Núm ty Comotomo hộp 2 chiếc (0 - 3 tháng),275.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108037', '0 - 3 tháng', 'Silicon'"
Bình sữa Nuk cổ rộng thủy tinh núm cao su 120ml 747076,230.000 ₫,"'Nuk', 'Đức', 'Đức', '108041', 'Từ sơ sinh', 'Thủy tinh', '120ml', 'Xanh'"
Bình sữa Nuk cổ rộng thủy tinh núm cao su 240ml 745077,245.000 ₫,"'Nuk', 'Đức', 'Đức', '108080', '0 - 6 tháng', 'Thủy tinh', '240ml', 'Xanh'"
Ủ bình sữa Farlin BF-225,285.000 ₫,"'Farlin', 'Đài Loan', 'Đài Loan', '108113', 'Bình ủ sữa', 'Từ sơ sinh', 'Nhựa cao cấp', 'Nhiều màu sắc'"
Bình sữa Chuchu Baby cổ nhỏ 240ml,280.000 ₫,"'ChuChu Baby', 'Nhật Bản', '108144', 'Nhựa PPSU', '240ml', 'Trắng'"
Bình sữa thủy tinh Chuchu Baby cổ rộng 160ml,350.000 ₫,"'ChuChu Baby', 'Nhật Bản', '108241', 'Thủy tinh', '160ml', 'Xanh'"
Bình sữa Philips Avent thủy tinh 240ml 673/17,375.000 ₫,"'Philips Avent', 'Anh', '108245', 'Trên 1 tháng', 'Thủy tinh', '240ml', 'Trắng'"
Giá úp bình sữa Munchkin xoay tròn 11285,369.000 ₫,"'Munchkin', 'Mỹ', 'Trung Quốc', '108266', 'Từ sơ sinh', 'Nhựa PP', 'Xanh'"
Bình sữa thủy tinh Chuchu Baby cổ rộng 240ml,380.000 ₫,"'ChuChu Baby', 'Nhật Bản', '108277', 'Thủy tinh', '240ml', 'Trắng'"
Máy tiệt trùng bình sữa Philips Avent 3 trong 1 284.02,2.850.000 ₫,"'Philips Avent', 'Anh', 'Trung Quốc', '108520', 'Trắng', 'Nhựa PP', '1.5kg', '290 x 160 x 150 mm'"
Máy tiệt trùng bình sữa đa năng Nuk 251010,2.724.000 ₫,"'Nuk', 'Đức', '108522', 'Xanh', 'Nhựa cao cấp'"
Máy tiệt trùng bình sữa Chicco đa năng 2 trong 1,1.490.000 ₫,"'Chicco', 'Ý', 'Trung Quốc', '111450', 'Trắng', 'Nhựa cao cấp'"
Giá úp bình sữa Munchkin 44149,289.000 ₫,"'Munchkin', 'Mỹ', '112864', 'Từ sơ sinh', 'Nhựa an toàn', 'Trắng'"
Bình sữa Nuk cổ nhỏ núm cao su 110ml 743607 (0 - 6 tháng),98.000 ₫,"'Nuk', 'Đức', 'Malaysia', '113093', '0 - 6 tháng', 'Nhựa PP', '110ml', 'Hồng'"
Bình sữa Nuk cổ nhỏ nhựa PP núm cao su 240ml 741606 (0 - 6 tháng),110.000 ₫,"'Nuk', 'Đức', 'Malaysia', '113095', '0 - 6 tháng', 'Nhựa PP', '240ml', 'Hồng'"
Sữa Milo uống liền 180mlx4,33.000 ₫,"'Nestlé', 'Thụy Sĩ', '113891'"
Bình sữa Pigeon nhựa PP voi đỏ 240ml,62.000 ₫,"'Pigeon', 'Nhật Bản', '114138', 'Trên 3 tháng', 'Nhựa PP', '240ml', 'Hồng'"
Núm ty Wesser cổ hẹp size S (0 - 3 tháng),92.150 ₫,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114517', '0 - 3 tháng', 'Silicon'"
Bình sữa silicon Gluck hồng 240ml,278.000 ₫,"'Gluck Baby', 'Đức', '115523', 'Nhựa PPSU', '240ml', 'Hồng'"
Máy tiệt trùng bình sữa Gluck GX06,739.000 ₫,"'Gluck Baby', 'Đức', '115528', 'Trắng', 'Nhựa cao cấp', '500W', '12 tháng'"
Bình sữa thủy tinh Philips Avent cổ rộng 120ml 673/13,395.000 ₫,"'Philips Avent', 'Anh', '115854', 'Từ sơ sinh', 'Thủy tinh', '120ml', 'Trắng'"
Bình sữa thủy tinh Philips Avent cổ rộng 240ml 673/13,455.000 ₫,"'Philips Avent', 'Anh', '115855', 'Trên 1 tháng', 'Thủy tinh', '240ml', 'Trắng'"
Nước rửa bình sữa Arau Baby 500ml,199.000 ₫,"'Arau Baby', 'Nhật Bản', 'Nhật Bản', '116146', '500ml'"
Sữa Enfamil A+ 2 360 Brain DHA+ và MFGM Pro 900g (6 - 12 tháng),579.000 ₫,"'Mead Johnson', 'Mỹ', 'Thái Lan', '116152', '6 - 12 tháng'"
Sữa Enfamil A+ 1 360 Brain DHA+ và MFGM Pro 900g (0 - 6 tháng),597.000 ₫,"'Mead Johnson', 'Mỹ', 'Thái Lan', '116256', '0 - 6 tháng'"
Sữa Enfagrow A+ 3 360 Brain DHA+ và MFGM Pro 900g (1 - 3 tuổi),523.000 ₫,"'Mead Johnson', 'Mỹ', '116258', '1 - 3 tuổi'"
Sữa Enfagrow A+ 4 360 Brain DHA+ và MFGM Pro 900g (2 - 6 tuổi),487.000 ₫,"'Mead Johnson', 'Mỹ', 'Thái Lan', '116260', '2 - 6 tuổi'"
Sữa hạt hạnh nhân 137 Degrees vị cà phê 180ml,23.000 ₫,"'137 Degrees', 'Thái Lan', 'Thái Lan', '116946', 'Trên 1 tuổi', 'Cà phê'"
Sữa hạt dẻ cười 137 Degrees truyền thống 180ml,28.000 ₫,"'137 Degrees', 'Thái Lan', 'Thái Lan', '116949', 'Trên 1 tuổi'"
Nước rửa bình sữa Babyganics 473ml,205.000 ₫,"'Babyganics', 'Mỹ', 'Mỹ', '117727', '473ml'"
Bình sữa silicon Gluck Premium màu xanh 150ml,327.800 ₫,"'Gluck Baby', 'Đức', '118117', 'Nhựa PPSU', '150ml', 'Xanh'"
Bình sữa silicon Gluck Premium màu hồng 150ml,327.800 ₫,"'Gluck Baby', 'Đức', '118118', 'Nhựa PPSU', '150ml', 'Hồng'"
Bình sữa silicon Gluck Premium màu cam 150ml,327.800 ₫,"'Gluck Baby', 'Đức', '118119', 'Nhựa PPSU', '150ml', 'Cam'"
Máy tiệt trùng và sấy khô bình sữa Fatzbaby Sumo 1 FB4906SL,1.285.000 ₫,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '118132', 'Cam', 'Nhựa cao cấp', '700W', '12 tháng'"
Bình sữa Nip thuỷ tinh cổ nhỏ 125ml 35069 (0 - 6 tháng),162.000 ₫,"'Nip', 'Đức', 'Đức', '118156', '0 - 6 tháng', 'Thủy tinh', '125ml', 'Xanh'"
Bình sữa Pigeon thủy tinh 120ml,260.000 ₫,"'Pigeon', 'Nhật Bản', 'Thái Lan', '118515', 'Nhựa PP', '120ml', 'Trắng'"
Sữa hạt hạnh nhân 137 Degrees không đường 1L,91.000 ₫,"'137 Degrees', 'Thái Lan', 'Thái Lan', '119097'"
